Happiness.Score,Economy..GDP.per.Capita.,Freedom
7.537000179,1.616463184,0.635422587
7.521999836,1.482383013,0.626006722
7.504000187,1.48063302,0.627162635
7.493999958,1.564979553,0.620070577
7.468999863,1.443571925,0.617950857
7.376999855,1.503944635,0.585384488
7.315999985,1.479204416,0.611100912
7.31400013,1.405706048,0.61406213
7.28399992,1.494387269,0.612924099
7.28399992,1.484414935,0.601607382
7.212999821,1.375382423,0.405988604
7.078999996,1.109706283,0.58013165
7.006000042,1.487097263,0.56776619
6.993000031,1.546259284,0.505740523
6.977000237,1.535706639,0.573110342
6.951000214,1.487923384,0.562511384
6.890999794,1.463780761,0.539770722
6.862999916,1.741943598,0.596627891
6.714000225,1.44163394,0.508190036
6.65199995,1.25278461,0.376895279
6.647999763,1.626343369,0.60834527
6.635000229,1.10735321,0.437453747
6.609000206,1.352682352,0.490946174
6.598999977,1.185295463,0.494519204
6.578000069,1.153183818,0.412730008
6.572000027,1.69227767,0.549840569
6.52699995,1.343279839,0.588767052
6.453999996,1.217559695,0.579392254
6.453999996,0.872001946,0.531310618
6.452000141,1.233748436,0.550026834
6.441999912,1.430923462,0.470222116
6.423999786,1.127868772,0.580200732
6.421999931,1.433626533,0.361466587
6.402999878,1.384397864,0.40878123
6.375,1.870765686,0.604130983
6.356999874,1.070622325,0.477487415
6.343999863,1.530623555,0.449750572
6.168000221,1.361355901,0.518630743
6.105000019,1.632952452,0.496337593
6.09800005,1.325393558,0.295817465
6.086999893,1.488412261,0.536746919
6.084000111,1.29121542,0.402264982
6.071000099,0.737299204,0.447551847
6.007999897,1.000820398,0.455198199
6.002999783,0.909784496,0.43245253
5.97300005,1.291787863,0.520342112
5.971000195,0.786441088,0.658248663
5.964000225,1.395066619,0.256450713
5.962999821,1.281778097,0.373783112
5.955999851,0.907975316,0.547509372
5.920000076,1.416915178,0.505625546
5.90199995,1.314582348,0.234231785
5.872000217,1.091864467,0.233335808
5.849999905,1.260748625,0.325707912
5.837999821,1.401678443,0.257921666
5.837999821,0.72887063,0.240729049
5.824999809,1.217683911,0.457003742
5.822999954,0.833756566,0.558732927
5.822000027,1.130776763,0.418271929
5.818999767,1.28455627,0.437454283
5.809999943,1.346911311,0.471203625
5.757999897,1.341205955,0.572575808
5.715000153,1.035225272,0.450002879
5.629000187,1.189395547,0.491247326
5.620999813,1.355938077,0.355111539
5.611000061,1.32087934,0.47913143
5.568999767,1.15655756,0.295400262
5.525000095,1.101803064,0.46573323
5.5,1.198274374,0.3007406
5.493000031,0.932537317,0.473507792
5.472000122,1.551674843,0.490968645
5.429999828,0.857699215,0.585214674
5.394999981,1.069317579,0.208715528
5.335999966,0.991012394,0.418421149
5.323999882,1.286011934,0.175863519
5.31099987,0.925579309,0.474307239
5.293000221,1.222556233,0.255772293
5.278999805,0.951484382,0.260287941
5.272999763,1.081165791,0.472787708
5.269000053,0.726883531,0.235215262
5.262000084,0.995538592,0.443323463
5.25,1.128431201,0.153997123
5.236999989,1.121129036,0.194989055
5.235000134,0.878114581,0.408158332
5.234000206,1.153601766,0.398155838
5.230000019,1.079373837,0.552589834
5.227000237,1.289487481,0.095731251
5.224999905,1.074987531,0.288515985
5.195000172,1.315175295,0.4984653
5.18200016,0.982409418,0.204403177
5.181000233,0.730573118,0.34807986
5.175000191,1.064577937,0.325905979
5.151000023,0.022643184,0.602126956
5.073999882,0.788547575,0.571055591
5.073999882,0.783756256,0.394952565
5.040999889,0.524713635,0.471566707
5.011000156,0.885416389,0.501537681
5.004000187,0.596220076,0.454943389
4.961999893,0.479820192,0.440305948
4.954999924,1.027235866,0.394143969
4.828999996,1.054698706,0.479246736
4.804999828,1.007265806,0.28968069
4.775000095,0.716249228,0.254711062
4.735000134,0.989701807,0.282110155
4.714000225,1.161459088,0.289231718
4.709000111,0.368420929,0.318697691
4.695000172,0.564305365,0.430388749
4.691999912,1.156873107,0.249322608
4.644000053,0.996192753,0.381498635
4.607999802,0.586682975,0.478356659
4.573999882,0.964434326,0.520303547
4.552999973,0.560479462,0.452763766
4.550000191,0.23430565,0.480791092
4.545000076,0.36711055,0.514492035
4.534999847,0.479309022,0.377922267
4.513999939,0.636406779,0.461603492
4.497000217,1.102710485,0.288555533
4.465000153,1.198210239,0.312328577
4.460000038,0.339233845,0.408842742
4.440000057,1.009850144,0.561213255
4.375999928,0.900596738,0.198303267
4.315000057,0.792221248,0.469987005
4.291999817,0.648457289,0.096098043
4.290999889,0.808964252,0.435025871
4.285999775,0.950612664,0.309410036
4.28000021,0.092102349,0.235961348
4.190000057,0.476180494,0.306613743
4.179999828,0.603048921,0.447706193
4.168000221,0.601765096,0.633375823
